parameter_id,timing_id,switch_mix,comp_overdrive_residual_mv,program_error_mv,hold_delta_vgs_mv,write_unsettled_fraction,prep_unsettled_fraction,em_drop_300na_mv,beta_uav2,sampling_vth_coefficient
P3-196fd81247,T3-01,IGZO/IGZO/IGZO/IGZO/IGZO,508.5756897837434,507.85205266816325,-1.5290702619932262,1.7149021927641672e-07,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-02,IGZO/IGZO/IGZO/IGZO/IGZO,508.5756897837434,507.85205266816325,-1.5290702619932262,1.7149021927641672e-07,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-03,IGZO/IGZO/IGZO/IGZO/IGZO,508.5756897837434,507.85206042790145,-1.5290705039863184,8.648831232059362e-28,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-04,IGZO/IGZO/IGZO/IGZO/IGZO,508.5756897837434,507.85206042790145,-1.5290705039863184,8.648831232059362e-28,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-05,IGZO/IGZO/IGZO/IGZO/IGZO,508.5756897837434,507.85206042790145,-1.5290705039863184,4.839350892872403e-136,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-06,IGZO/IGZO/IGZO/IGZO/IGZO,508.5756897837434,507.85206042790145,-1.5290705039863184,4.839350892872403e-136,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-07,IGZO/IGZO/IGZO/IGZO/IGZO,157.10665745219995,157.9733779489801,-1.3483266138676342,1.7149021927641672e-07,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-08,IGZO/IGZO/IGZO/IGZO/IGZO,157.10665745219995,157.9733779489801,-1.3483266138676342,1.7149021927641672e-07,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-09,IGZO/IGZO/IGZO/IGZO/IGZO,157.10665745219995,157.97338570871827,-1.3483268558607264,8.648831232059362e-28,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-10,IGZO/IGZO/IGZO/IGZO/IGZO,157.10665745219995,157.97338570871827,-1.3483268558607264,8.648831232059362e-28,0.14155963341756855,45.0,1.0,0.9954751131221697
P3-196fd81247,T3-11,IGZO/IGZO/IGZO/IGZO/IGZO,157.10665745219995,157.97338570871827,-1.3483268558607264,4.839350892872403e-136,0.14155963341756855,45.0,1.0,0.9954751131221697
